"regional_code","common_name_en","common_name_fr","scientific_name","aphia_id","count_of_occurrences_in_db"
6600,"Sea cucumber unidentified",NA,"Holothuroidea (c.)",123083,946
2316,"Parrot bladed shrimp","Bouc perroquet","Spirontocaris spinus",107533,926
2312,"Polar shrimp","Bouc","Lebbeus polaris",107521,886
23,"Redfish unidentified",NA,"Sebastes sp.",126175,872
6113,"Polar six-rayed star",NA,"Leptasterias (Hexasterias) polaris",125154,872
8600,"Sponge unidentified",NA,"Porifera",558,871
4211,"Waved whelk","Buccin commun","Buccinum undatum",138878,864
302,"Arctic staghorn sculpin","Tricorne arctique","Gymnocanthus tricuspis",127198,862
6121,"Purple sunstar","Soleil de mer pourpre","Solaster endeca",124160,856
31,"Greenland halibut",NA,"Reinhardtius hippoglossoides",127144,848
300,"Longhorn sculpin",NA,"Myoxocephalus octodecemspinosus",159520,845
620,"Laval's eelpout","Lycode de Laval","Lycodes lavalaei",127107,841
201,"Thorny skate",NA,"Amblyraja radiata",105865,814
12,"White hake","Merluche blanche","Urophycis tenuis",126504,760
4511,"Northern shortfin squid","Encornet rouge nordique","Illex illecebrosus",153087,751
301,"Shorthorn sculpin",NA,"Myoxocephalus scorpius",127203,741
2513,"Atlantic rock crab","Crabe commun","Cancer irroratus",158057,725
4210,"Buccinum unidentified",NA,"Buccinum sp.",137701,723
512,"Dusky snailfish",NA,"Liparis gibbus",159526,711
6115,"Mud star","Ctenodiscus crispatus","Ctenodiscus crispatus",123915,711
41,"Witch flounder","Plie grise","Glyptocephalus cynoglossus",127136,695
1810,"Tunicate unidentified",NA,"Tunicata (s.p.)",146420,694
350,"Atlantic poacher","Agone atlantique","Leptagonus decagonus",127191,688
2550,"American lobster",NA,"Homarus americanus",156134,654
626,"Fourline snakeblenny","Quatre-lignes atlantique","Eumesogrammus praecisus",159817,630
880,"Atlantic hookear sculpin",NA,"Artediellus atlanticus",127193,575
6110,"Asterias unidentified",NA,"Asterias sp.",123219,566
9400,"Garbage man-made",NA,NA,NA,560
2611,"Norwegian krill","Norwegian krill","Meganyctiphanes norvegica",110690,558
314,"Spatulate sculpin",NA,"Icelus spatula",127200,556
610,"Northern sand lance",NA,"Ammodytes dubius",151520,555
70,"Atlantic mackerel","Maquereau bleu","Scomber scombrus",127023,552
30,"Atlantic halibut",NA,"Hippoglossus hippoglossus",127138,549
4300,"Bivalve unidentified",NA,"Bivalvia (c.)",105,538
9303,"Brown seaweed unidentified",NA,"Phaeophyceae (c.)",830,529
6120,"Obsolete",NA,"Obsolete",NA,520
62,"Alewife","Gaspereau","Alosa pseudoharengus",158669,510
251,"Gadidae unidentified",NA,"Gadidae (f.)",125469,493
4400,"Sea slug unidentified",NA,"Nudibranchia (o.)",1762,487
63,"Rainbow smelt",NA,"Osmerus mordax",126737,485
